year,month,value,month_num
2024,ม.ค.,0,1
2024,ก.พ.,0,2
2024,มี.ค.,2.5,3
2024,เม.ย.,17.5,4
2024,พ.ค.,282.2,5
2024,มิ.ย.,132,6
2024,ก.ค.,226.4,7
2024,ส.ค.,176.7,8
2024,ก.ย.,431.8,9
2024,ต.ค.,27.7,10
2024,พ.ย.,0,11
2024,ธ.ค.,0,12
2025,ม.ค.,0,1
2025,ก.พ.,5.7,2
2025,มี.ค.,23.5,3
2025,เม.ย.,44.3,4
2025,พ.ค.,217.9,5
2025,มิ.ย.,206.1,6
2025,ก.ค.,107.6,7
2025,ส.ค.,285.7,8
2025,ก.ย.,318.4,9
2025,ต.ค.,76.4,10
2025,พ.ย.,24.9,11
2025,ธ.ค.,0,12
